noBlockDeals,bulkBlockDeals,marketDeptOrderBook.totalBuyQuantity,marketDeptOrderBook.totalSellQuantity,marketDeptOrderBook.bid,marketDeptOrderBook.ask,marketDeptOrderBook.tradeInfo.totalTradedVolume,marketDeptOrderBook.tradeInfo.totalTradedValue,marketDeptOrderBook.tradeInfo.totalMarketCap,marketDeptOrderBook.tradeInfo.ffmc,marketDeptOrderBook.tradeInfo.impactCost,marketDeptOrderBook.tradeInfo.cmDailyVolatility,marketDeptOrderBook.tradeInfo.cmAnnualVolatility,marketDeptOrderBook.valueAtRisk.securityVar,marketDeptOrderBook.valueAtRisk.indexVar,marketDeptOrderBook.valueAtRisk.varMargin,marketDeptOrderBook.valueAtRisk.extremeLossMargin,marketDeptOrderBook.valueAtRisk.adhocMargin,marketDeptOrderBook.valueAtRisk.applicableMargin,securityWiseDP.quantityTraded,securityWiseDP.deliveryQuantity,securityWiseDP.deliveryToTradedQuantity,securityWiseDP.seriesRemarks,securityWiseDP.secWiseDelPosDate,SYMBOL
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",1759,0,"[{'price': 1888.7, 'quantity': 1759}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",418305,7922.78,5068700.36,2255875.1928962,0.04,1.99,38.02,12.7,0,12.7,3.5,0,16.2,418305,162156,38.77,,20-JUL-2023 EOD,ASTRAL
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",276,0,"[{'price': 7596.6, 'quantity': 276}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",649436,49159.06,46019512.96,20221125.4747418,0.01,1.88,35.92,11.94,0,11.94,3.5,0,15.44,649436,168131,25.89,,20-JUL-2023 EOD,BAJFINANCE
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,36,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 2409.45, 'quantity': 36}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",177734,4288.31,4655077.94,1926177.6840658,0.03,1.97,37.64,12.57,0,12.57,3.5,0,16.07,177734,90232,50.77,,20-JUL-2023 EOD,BALKRISIND
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,233,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 521.45, 'quantity': 233}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",200676,1049.6,243147.96,110361.0620842,0.09,2.69,51.39,17.49,0,17.49,3.5,0,20.99,200676,83765,41.74,,20-JUL-2023 EOD,CARTRADE
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,110,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 3678.8, 'quantity': 110}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",503722,18540.7,23946976.9,5302412.2519776,0.03,1.76,33.62,11.12,0,11.12,3.5,0,14.62,503722,364695,72.4,,20-JUL-2023 EOD,DMART
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",0,0.0,0.0,16565.4023637,3.5,,,0.0,0,100.0,0.0,0,100.0,0,0,0.0,,-,FCONSUMER
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",0,0.0,0.0,1342.8380988,3.92,,,0.0,0,100.0,0.0,0,100.0,0,0,0.0,,-,FSC
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",998,0,"[{'price': 1688.75, 'quantity': 998}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",28105474,473880.78,127302010.68,125745427.2074854,0.01,1.35,25.79,8.42,0,9.0,3.5,0,12.5,28105474,13178804,46.89,,20-JUL-2023 EOD,HDFCBANK
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",2525,0,"[{'price': 1398.7, 'quantity': 2525}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",1363037,18752.94,6899165.79,3490249.4406876,0.04,1.58,30.19,9.92,0,9.92,3.5,0,13.42,1363037,907175,66.56,,20-JUL-2023 EOD,ICICIGI
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,69,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 81.4, 'quantity': 69}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",22078998,17963.47,5401970.22,2547218.4170754,0.05,2.16,41.27,13.82,0,13.82,3.5,0,17.32,22078998,7479848,33.88,,20-JUL-2023 EOD,IDFCFIRSTB
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,1,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 2348.15, 'quantity': 1}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",99673,2343.95,1955328.13,802122.7349341001,0.04,2.16,41.27,13.81,0,13.81,3.5,0,17.31,99673,24084,24.16,,20-JUL-2023 EOD,LALPATHLAB
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,15,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 4652.75, 'quantity': 15}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",149124,6934.52,6013520.79,3627102.53724,0.03,2.19,41.84,14.01,0,14.01,3.5,0,17.51,149124,55929,37.51,,20-JUL-2023 EOD,NAUKRI
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",135,0,"[{'price': 3644.95, 'quantity': 135}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",104749,3817.9,5522539.5,2931730.3633071003,0.04,1.88,35.92,11.96,0,11.96,3.5,0,15.46,104749,62153,59.34,,20-JUL-2023 EOD,PIIND
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0,120,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 2619.85, 'quantity': 120}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",19358812,506039.35,177462089.42,96134269.54019631,0.01,1.46,27.89,9.15,0,9.15,3.5,0,12.65,19358812,13384709,69.14,,20-JUL-2023 EOD,RELIANCE
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",1,0,"[{'price': 873.1, 'quantity': 1}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",1381298,11979.86,8128851.94,5115955.675152,0.02,1.44,27.51,9.03,0,9.03,3.5,0,12.53,1381298,679710,49.21,,20-JUL-2023 EOD,TATACONSUM
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",136,0,"[{'price': 218.15, 'quantity': 136}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",6910107,15111.02,6970633.22,3156196.6375493,0.03,1.88,35.92,11.96,0,11.96,3.5,0,15.46,6910107,3305861,47.84,,20-JUL-2023 EOD,TATAPOWER
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",160,0,"[{'price': 2989.3, 'quantity': 160}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",1021556,30476.69,26551464.58,12499634.067958798,0.02,1.49,28.47,9.33,0,9.33,3.5,0,12.83,1021556,626201,61.3,,20-JUL-2023 EOD,TITAN
True,"[{'name': 'Session I'}, {'name': 'Session II'}]",17,0,"[{'price': 270.8, 'quantity': 17}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",118363,322.91,204513.4,65444.287126999996,0.17,2.29,43.75,14.75,0,14.75,3.5,0,18.25,118363,63330,53.5,,20-JUL-2023 EOD,HUHTAMAKI
